,CBA-WBC,CBA-ANZ,CBA-NAB,CBA-MQG,WBC-ANZ,WBC-NAB,WBC-MQG,ANZ-NAB,ANZ-MQG,NAB-MQG
2015-04-24,0.0,0.0,0.0,0.81,0.0,0.0,0.13,0.0,0.03,0.44
2015-04-27,0.0,0.0,0.0,0.79,0.0,0.0,0.06,0.0,0.07,0.46
2015-04-28,0.0,0.0,0.0,0.85,0.0,0.0,0.12,0.0,0.07,0.5
2015-04-29,0.0,0.0,0.0,0.65,0.0,0.0,0.05,0.0,0.03,0.42
2015-04-30,0.0,0.0,0.0,0.67,0.0,0.0,0.05,0.0,0.05,0.42
2015-05-01,0.0,0.0,0.0,0.56,0.0,0.0,0.11,0.0,0.06,0.49
2015-05-04,0.0,0.0,0.0,0.5,0.0,0.0,0.08,0.0,0.05,0.54
2015-05-05,0.0,0.0,0.0,0.42,0.0,0.0,0.1,0.0,0.02,0.39
2015-05-06,0.0,0.0,0.0,0.34,0.0,0.0,0.14,0.0,0.03,0.42
2015-05-07,0.0,0.0,0.0,0.31,0.0,0.0,0.11,0.0,0.05,0.51
2015-05-08,0.0,0.0,0.0,0.24,0.0,0.0,0.1,0.0,0.07,0.56
2015-05-11,0.0,0.0,0.0,0.2,0.0,0.0,0.05,0.0,0.02,0.64
2015-05-12,0.0,0.0,0.0,0.24,0.0,0.0,0.04,0.0,0.02,0.56
2015-05-13,0.0,0.0,0.0,0.34,0.0,0.0,0.01,0.0,0.03,0.77
2015-05-14,0.0,0.0,0.0,0.39,0.0,0.0,0.03,0.0,0.03,0.66
2015-05-15,0.0,0.0,0.0,0.32,0.0,0.0,0.05,0.0,0.03,0.63
2015-05-18,0.0,0.0,0.0,0.38,0.0,0.0,0.05,0.0,0.01,0.68
2015-05-19,0.0,0.0,0.0,0.36,0.0,0.0,0.1,0.0,0.03,0.62
2015-05-20,0.0,0.0,0.0,0.53,0.0,0.0,0.09,0.0,0.05,0.37
2015-05-21,0.0,0.0,0.0,0.37,0.0,0.0,0.04,0.0,0.05,0.62
2015-05-22,0.0,0.0,0.0,0.39,0.0,0.0,0.04,0.0,0.09,0.62
2015-05-25,0.0,0.0,0.0,0.38,0.0,0.0,0.04,0.0,0.01,0.48
2015-05-26,0.0,0.0,0.0,0.51,0.0,0.0,0.06,0.0,0.1,0.62
2015-05-27,0.0,0.0,0.0,0.56,0.0,0.0,0.08,0.0,0.1,0.67
2015-05-28,0.0,0.0,0.0,0.58,0.0,0.0,0.11,0.0,0.13,0.59
2015-05-29,0.0,0.0,0.0,0.41,0.0,0.0,0.17,0.0,0.08,0.57
2015-06-01,0.0,0.0,0.0,0.27,0.0,0.0,0.36,0.0,0.12,0.73
2015-06-02,0.0,0.0,0.0,0.44,0.0,0.0,0.42,0.0,0.13,0.49
2015-06-03,0.0,0.0,0.0,0.41,0.0,0.0,0.54,0.0,0.15,0.66
2015-06-04,0.0,0.0,0.0,0.35,0.0,0.0,0.47,0.0,0.23,0.54
2015-06-05,0.0,0.0,0.0,0.45,0.0,0.0,0.43,0.0,0.16,0.54
2015-06-08,0.0,0.0,0.0,0.32,0.0,0.0,0.45,0.0,0.12,0.37
2015-06-09,0.0,0.0,0.0,0.3,0.0,0.0,0.49,0.0,0.05,0.32
2015-06-10,0.0,0.0,0.0,0.51,0.0,0.0,0.59,0.0,0.18,0.37
2015-06-11,0.0,0.0,0.0,0.27,0.0,0.0,0.5,0.0,0.09,0.31
2015-06-12,0.0,0.0,0.0,0.33,0.0,0.0,0.4,0.0,0.02,0.44
2015-06-15,0.0,0.0,0.0,0.21,0.0,0.0,0.31,0.0,0.1,0.24
